client_id,date_enquete,ville,agence,anciennete,segment,age,satisfaction_5,reclamation,delai_traitement_min,depenses_mensuelles_usd
C001,2026-08-03,Kinshasa,A,Nouveau,Particulier,29,4,Non,12,18
C002,2026-08-04,Kinshasa,B,Ancien,Particulier,42,3,Oui,48,12
C003,2026-08-05,Lubumbashi,A,Intermediaire,Entreprise,35,5,Non,8,30
C004,2026-08-06,Kinshasa,C,Nouveau,Particulier,24,2,Oui,72,10
C005,2026-08-07,Goma,B,Ancien,Particulier,51,4,Non,16,22
C006,2026-08-08,Kinshasa,A,Intermediaire,Entreprise,38,4,Non,14,26
C007,2026-08-09,Lubumbashi,C,Nouveau,Particulier,27,3,Oui,55,14
C008,2026-08-10,Kinshasa,B,Ancien,Entreprise,46,2,Oui,65,9
C009,2026-08-11,Goma,A,Intermediaire,Particulier,33,5,Non,9,28
C010,2026-08-12,Kinshasa,C,Nouveau,Particulier,22,3,Non,20,17
C011,2026-08-13,Lubumbashi,B,Ancien,Entreprise,57,4,Non,11,24
C012,2026-08-14,Kinshasa,A,Intermediaire,Particulier,31,5,Non,7,32
C013,2026-08-15,Goma,C,Nouveau,Particulier,26,2,Oui,80,8
C014,2026-08-16,Kinshasa,B,Ancien,Entreprise,49,3,Oui,52,11
C015,2026-08-17,Lubumbashi,A,Intermediaire,Particulier,36,4,Non,13,25
C016,2026-08-18,Kinshasa,C,Nouveau,Entreprise,28,3,Oui,61,13
C017,2026-08-19,Goma,B,Ancien,Particulier,44,5,Non,10,29
C018,2026-08-20,Kinshasa,A,Intermediaire,Entreprise,39,4,Non,15,23
C019,2026-08-21,Lubumbashi,C,Nouveau,Particulier,25,2,Oui,76,7
C020,2026-08-22,Kinshasa,B,Ancien,Particulier,53,3,Oui,49,12
C021,2026-08-23,Goma,A,Intermediaire,Entreprise,41,4,Non,14,27
C022,2026-08-24,Kinshasa,C,Nouveau,Particulier,23,3,Non,21,16
C023,2026-08-25,Lubumbashi,B,Ancien,Entreprise,58,5,Non,9,31
C024,2026-08-26,Kinshasa,A,Intermediaire,Particulier,34,4,Non,12,24
C025,2026-08-27,Goma,C,Nouveau,Particulier,30,2,Oui,70,9
C026,2026-08-28,Kinshasa,B,Ancien,Entreprise,47,3,Oui,57,10
C027,2026-08-29,Lubumbashi,A,Intermediaire,Particulier,37,5,Non,8,29
C028,2026-08-30,Kinshasa,C,Nouveau,Particulier,21,3,Oui,63,12
C029,2026-08-31,Goma,B,Ancien,Entreprise,55,4,Non,13,26
C030,2026-09-01,Kinshasa,A,Intermediaire,Particulier,32,4,Non,10,27
C031,2026-09-02,Lubumbashi,C,Nouveau,Entreprise,26,2,Oui,78,6
C032,2026-09-03,Kinshasa,B,Ancien,Particulier,50,3,Oui,54,11
C033,2026-09-04,Goma,A,Intermediaire,Entreprise,40,5,Non,7,33
C034,2026-09-05,Kinshasa,C,Nouveau,Particulier,24,3,Non,19,18
C035,2026-09-06,Lubumbashi,B,Ancien,Entreprise,60,4,Non,12,25
C036,2026-09-07,Kinshasa,A,Intermediaire,Particulier,35,5,Non,6,34
C037,2026-09-08,Goma,C,Nouveau,Particulier,27,2,Oui,82,7
C038,2026-09-09,Kinshasa,B,Ancien,Entreprise,45,3,Oui,50,10
C039,2026-09-10,Lubumbashi,A,Intermediaire,Particulier,39,4,Non,14,23
C040,2026-09-11,Kinshasa,C,Nouveau,Particulier,22,3,Oui,59,12
C041,2026-09-12,Goma,B,Ancien,Entreprise,52,5,Non,8,30
C042,2026-09-13,Kinshasa,A,Intermediaire,Particulier,33,4,Non,11,28
C043,2026-09-14,Lubumbashi,C,Nouveau,Entreprise,29,2,Oui,74,8
C044,2026-09-15,Kinshasa,B,Ancien,Particulier,48,3,Oui,53,9
C045,2026-09-16,Goma,A,Intermediaire,Entreprise,43,5,Non,9,32
C046,2026-09-17,Kinshasa,C,Nouveau,Particulier,25,3,Non,18,17
C047,2026-09-18,Lubumbashi,B,Ancien,Entreprise,56,4,Non,10,27
C048,2026-09-19,Kinshasa,A,Intermediaire,Particulier,36,5,Non,7,35
C049,2026-09-20,Goma,C,Nouveau,Particulier,28,2,Oui,79,6
C050,2026-09-21,Kinshasa,B,Ancien,Entreprise,54,3,Oui,51,10
C051,2026-09-22,Lubumbashi,A,Intermediaire,Particulier,38,4,Non,13,26
C052,2026-09-23,Kinshasa,C,Nouveau,Particulier,23,3,Oui,64,11
C053,2026-09-24,Goma,B,Ancien,Entreprise,59,5,Non,8,31
C054,2026-09-25,Kinshasa,A,Intermediaire,Particulier,31,4,Non,12,29
C055,2026-09-26,Lubumbashi,C,Nouveau,Entreprise,27,2,Oui,77,7
C056,2026-09-27,Kinshasa,B,Ancien,Particulier,46,3,Oui,56,10
C057,2026-09-28,Goma,A,Intermediaire,Entreprise,42,5,Non,9,34
C058,2026-09-29,Kinshasa,C,Nouveau,Particulier,20,3,Non,22,16
C059,2026-09-30,Lubumbashi,B,Ancien,Entreprise,61,4,Non,11,28
C060,2026-10-01,Kinshasa,A,Intermediaire,Particulier,34,5,Non,6,36
